Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Rwanda,RWA,530.9965256,520.15264,496.407386,469.5946789,453.0124611,451.2255231,456.1732062,468.2261137,486.1354244,508.1715222,534.5139024,566.0258867,609.8767839,673.4664437,731.8065531,791.6277254,857.7988246,943.5107021,1031.259057,1122.564005,1234.171074,1353.392562,1472.646011,1580.058858
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Saudi Arabia,SAU,40006.07014,40035.1317,40190.0643,40460.22095,40809.88186,41084.24536,41173.95052,41110.05215,41253.55409,41832.49162,42898.13886,44465.93766,46626.9177,49046.31607,50747.21525,52635.57719,54994.60122,57220.97135,59457.2338,61956.86535,64499.24135,65848.96779,66794.11219,68957.63748
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Senegal,SEN,3026.15035,3025.458573,3018.811898,3048.061708,3088.783662,3121.557515,3156.671085,3188.194925,3219.976668,3264.68794,3314.189256,3385.927472,3464.791897,3550.902933,3606.139676,3650.114268,3704.587944,3744.654111,3825.584254,3916.218701,4010.656594,4131.753265,4275.321361,4529.609651
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Sierra Leone,SLE,1162.038293,1150.66824,1114.058338,1076.618083,1028.15617,986.7151509,944.4784028,903.9358491,867.3969333,833.268886,813.5586302,796.0799623,782.1631206,772.9161162,766.5726972,867.3339816,1012.470374,1075.943283,1102.594024,1115.881502,1107.171454,1107.44238,1111.264074,1119.291173
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Singapore,SGP,111006.6594,116729.2335,123544.9617,128222.4475,134672.8749,140729.0543,143601.3627,146901.2827,152866.2681,155635.8361,156422.9111,156795.5212,156622.4731,155312.3478,157469.4695,162160.8226,166271.3087,170336.8632,175919.8777,181302.2958,186617.1379,190838.7016,196623.9667,205802.2109
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Slovak Republic,SVK,49280.89052,50490.02367,52054.23166,53834.8751,54841.86543,55574.68005,56746.2738,57735.63883,58532.43022,59392.55613,60746.25146,62387.99983,64309.94245,66121.62853,66872.83483,67893.58091,69329.80424,70219.73315,71061.19042,71983.77489,73771.69166,74889.54637,76035.77771,77615.25523
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Slovenia,SVN,85940.16744,88084.31722,90712.7018,93633.327,96811.87438,99584.82241,102344.9817,104892.8858,107611.6552,110452.6517,113142.7606,116156.9756,119460.4189,123462.8555,124272.7367,124659.1031,124985.6016,124801.6438,124876.8699,125050.0293,125182.4121,125083.6038,125507.9423,126532.2977
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Solomon Islands,SLB,4916.523704,4763.710538,4496.582199,4220.297887,3924.334517,3637.638146,3371.157799,3112.255807,2950.740159,2867.864531,2849.775829,2876.901231,2718.238532,2541.972278,2382.212623,2251.338759,2159.763062,2065.324432,1973.278783,1879.948309,1787.397343,1701.437496,1645.542108,1595.980425
Produced capital per capita (constant 2018 US$),NW.PCA.PC,South Africa,ZAF,16505.2266,16464.22363,16470.36446,16502.51362,16425.84201,16371.70554,16330.45058,16306.93496,16357.97414,16505.19346,16726.66169,17035.17721,17459.68118,17985.65434,18330.63425,18562.26508,18807.65103,19029.84229,19298.06569,19526.83325,19769.79657,19917.46042,20053.58035,20165.10825
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Spain,ESP,89272.68271,91565.44862,94014.3245,96945.71548,100324.4242,103945.2828,107426.6495,110235.1162,112889.4446,115753.987,118973.9006,122493.8717,125845.9745,128755.9162,130765.5976,132842.4625,134437.246,135757.4852,137332.4986,139120.4989,140965.8589,142677.0026,144410.9354,145899.7606
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Sri Lanka,LKA,5578.616736,5779.799173,6005.836706,6258.807108,6482.635664,6719.110221,6854.774462,7002.137037,7197.851437,7466.596027,7771.172687,8131.230749,8527.384287,8935.455048,9328.052029,9795.682179,10425.97604,11202.79008,11930.53875,12565.57198,13192.0794,13847.50137,14519.53017,15370.85285
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Suriname,SUR,25014.22037,25069.56183,24945.62131,24792.79486,27305.98284,28104.00727,29157.63751,29763.68785,29911.66729,30725.77062,31637.4921,32022.49083,32817.99654,33852.12919,34966.77764,35337.59446,36293.00512,37093.92527,37702.70391,38342.67533,38798.73109,39026.44177,39254.78964,39969.40295
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Sweden,SWE,256794.3176,258239.7149,259728.3909,261783.575,264113.4831,266498.9412,268376.3637,269391.5274,270405.6659,271892.93,273749.4487,276122.797,278677.2498,280664.4359,280034.5722,280082.6713,280897.3335,281430.9128,281514.0841,281788.9867,282558.502,283002.8355,283788.4163,285352.1781
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Switzerland,CHE,338134.9346,341334.6126,345372.208,350032.168,353651.1995,357174.313,359190.2811,360210.2991,360672.2964,362072.3873,363897.8171,366504.1081,368716.6167,369080.9565,367468.688,367408.4965,367769.2317,368732.944,369124.1794,369712.0201,370773.5754,372366.965,374972.7596,375614.4199
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Tajikistan,TJK,44405.52806,42686.87803,41159.43994,39635.48878,38235.24304,36746.32345,35391.04669,34045.17663,32808.55914,31600.35724,30450.51602,29348.11298,28294.75466,27287.23443,26277.57805,25306.34556,24380.699,23426.49327,22538.64679,21716.44967,20972.37261,20299.98114,19626.70657,18889.07761
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Tanzania,TZA,1138.562747,1129.141765,1131.293973,1154.123224,1183.044331,1213.893575,1253.246654,1295.705012,1349.357248,1407.755851,1482.884037,1573.721443,1682.549984,1801.704048,1902.936391,2014.953433,2163.32333,2294.179748,2419.512114,2566.569997,2729.734607,2918.487083,3118.944316,3313.884406
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Thailand,THA,16482.63066,17932.8593,18653.90057,18438.25624,18213.32043,18033.57136,17867.96345,17759.67702,17791.03985,17976.16661,18294.66234,18618.08486,18943.20195,19276.93287,19439.73782,19752.09804,20114.79871,20601.72602,21013.77016,21356.27268,21768.26038,22222.89071,22672.37347,23394.1885
Produced capital per capita (constant 2018 US$),NW.PCA.PC,The Gambia,GMB,1067.985162,1099.37507,1102.2835,1109.784553,1115.819446,1119.855727,1168.341293,1320.529982,1432.659888,1484.788961,1523.063131,1565.341408,1598.113029,1612.546295,1633.271258,1603.732332,1606.882749,1599.628867,1584.564271,1571.175752,1554.443163,1534.869893,1575.170374,1594.443962
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Togo,TGO,2788.773674,2718.89574,2636.636515,2588.834102,2512.276597,2468.171882,2433.324896,2404.455783,2385.024204,2355.590772,2332.282196,2316.396611,2287.212753,2267.782574,2263.41169,2266.761281,2307.834705,2339.587218,2385.091666,2445.929156,2523.487047,2621.642812,2664.686924,2725.868306
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Trinidad and Tobago,TTO,7364.293075,7329.160528,7441.071851,7530.000943,7476.689027,7381.1662,7440.672319,7417.076369,7629.239478,7744.438744,8141.820838,8225.894222,8260.383567,8427.946583,8813.063881,9173.680241,9490.570667,9991.420199,11068.79934,12707.54691,15603.85508,18201.13301,20294.45124,22484.7826
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Tunisia,TUN,7642.647481,7702.290663,7817.448471,7968.86714,8168.352961,8384.430955,8644.914245,8879.534779,9089.592691,9292.41102,9494.180942,9745.250081,10021.15809,10320.52009,10623.57285,10950.81347,11139.37921,11377.07395,11604.11187,11794.68298,11971.21052,12144.56276,12343.36731,12549.74669
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Turkey,TUR,13286.19392,13820.93404,14442.64228,14875.43207,15020.7404,15367.00307,15283.21367,15386.07413,15696.49673,16370.14797,17261.82878,18351.79223,19441.20579,20348.69767,20732.31044,21430.1071,22494.55938,23478.80477,24683.81921,25911.52396,27291.88007,28603.1645,30047.67302,31360.29336
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Turkmenistan,TKM,13191.81263,13433.76732,13577.26674,13902.82776,14238.44104,14495.80153,14696.038,14750.12579,14765.2478,14737.11828,14777.74072,14758.01316,14760.89431,15415.2234,16736.19966,18329.56294,20079.36428,21633.12259,23476.31382,25397.16922,27273.49189,29217.75677,31188.06396,33794.62262
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Uganda,UGA,618.3503447,644.2890085,670.8238196,701.5661186,732.5456115,761.655962,790.5809305,822.5992834,858.789576,902.0757877,959.1567541,1020.739519,1091.722159,1157.590051,1228.015078,1294.064305,1372.653185,1448.46355,1515.798964,1574.014064,1632.446592,1680.891249,1725.42586,1823.366619
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Ukraine,UKR,36638.17721,36249.5677,35914.33141,35609.84852,35341.36123,35154.36359,35010.36566,34845.84249,34746.7605,34743.5097,34754.5,34900.46089,35230.5059,35516.86474,35200.44099,34855.68847,34570.77201,34293.08716,33967.14265,33607.74147,33163.11745,32842.58791,32632.78069,32545.32469
Produced capital per capita (constant 2018 US$),NW.PCA.PC,United Arab Emirates,ARE,218748.4274,213175.6868,208055.6871,202723.6522,197267.254,191680.22,186310.2513,181367.5366,174689.0869,163614.7449,149993.0102,135176.5506,124451.3236,114922.1567,109328.9186,105809.8085,105382.7453,106893.664,109112.3822,112533.2852,115680.9966,118779.0048,121193.4106,125020.789
Produced capital per capita (constant 2018 US$),NW.PCA.PC,United Kingdom,GBR,132459.146,134931.0005,136980.7866,139415.769,141762.0446,144140.6279,146123.1245,148122.2289,150000.6384,151742.4448,153569.7843,155381.3924,157399.0468,158690.5034,158763.5394,159049.2281,159444.7397,160051.7371,160842.294,161972.8219,163160.2881,164450.9825,166014.6634,167718.5828
Produced capital per capita (constant 2018 US$),NW.PCA.PC,United States,USA,203784.5018,206746.0017,209961.2932,213839.7927,218161.197,222695.2195,226605.6446,229783.3825,233336.9996,237224.5246,241558.8107,245600.0551,248937.2107,251057.5415,251060.8397,251229.0837,251951.2588,253219.9306,254698.4253,256381.4411,258129.1369,259779.2968,261886.6155,263930.1938
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Uruguay,URY,45026.04915,46109.0059,47343.24621,48705.16754,49660.78848,50385.26498,50999.72839,51127.5547,51221.52321,51718.53636,52624.74634,53820.70118,55183.30312,57030.01458,58451.59445,60288.02179,62179.94152,64621.44446,67020.09862,69346.18199,71069.72834,72603.57291,73380.58677,73751.90534
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Venezuela,VEN,24413.53647,24086.52198,24033.71403,24023.49731,23787.51003,23579.86949,23507.88996,23217.02422,22599.94979,22311.98709,22346.47338,22668.69715,23271.59148,23814.72817,24137.46571,24315.78283,24498.33681,24966.66073,25293.78889,25449.7345,25492.41347,25580.97334,25762.3507,26688.92856
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Vietnam,VNM,894.3013726,1001.309011,1117.133952,1245.148393,1367.204684,1496.6061,1635.786153,1789.551422,1957.038954,2134.195764,2325.560496,2522.072841,2769.318605,2998.786089,3237.199372,3493.870762,3693.068103,3885.390052,4064.057149,4271.120796,4509.868274,4788.858298,5122.010826,5512.40222
Produced capital per capita (constant 2018 US$),NW.PCA.PC,West Bank and Gaza,PSE,9024.248925,9192.378671,9400.86454,9870.248795,10640.52344,10982.6768,11091.95526,11065.42226,11196.70818,11324.07866,11495.34799,11565.46186,11462.44342,11504.30146,11649.04174,11717.38361,11922.5073,12213.97668,12513.90902,12686.48733,12916.62317,13114.0318,13338.02306,13538.76226
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Yemen,YEM,11900.55778,12474.07013,13177.4862,13856.9231,14204.46644,14371.27701,14524.71675,14820.75377,15346.89369,15952.57215,16718.18247,17448.15432,18355.175,19325.55312,20275.98029,21283.48134,21266.22385,21966.59934,22546.16484,22990.4289,21901.69252,20845.02026,19979.34685,20153.07415
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Zambia,ZMB,7522.573225,7202.049807,6905.821864,6651.321837,6435.120009,6267.95257,6164.92233,6081.785772,6033.521249,5954.805462,5873.862571,5813.42322,5801.161558,5822.336981,5835.032732,5849.962604,5924.719539,5931.479877,5983.494579,6136.907245,6421.715472,6657.768673,6917.037795,7169.964011
Produced capital per capita (constant 2018 US$),NW.PCA.PC,Zimbabwe,ZWE,4398.511125,4335.457366,4279.296671,4284.529941,4268.064721,4365.94118,4466.400347,4621.358755,4736.463955,4670.240715,4559.828189,4445.382944,4346.016193,4230.570756,4145.90105,4156.812796,4143.81574,4078.372334,4048.715665,4046.13334,4059.628701,4078.655576,4127.932125,4129.252975
Total wealth (constant 2018 US$),NW.TOW.TO,Albania,ALB,1.15529E+11,1.13796E+11,1.04036E+11,1.0311E+11,1.06924E+11,1.0878E+11,1.14526E+11,1.16812E+11,1.21581E+11,1.24042E+11,1.27565E+11,1.32315E+11,1.37674E+11,1.43454E+11,1.47945E+11,1.52272E+11,1.54928E+11,1.60016E+11,1.64835E+11,1.67985E+11,1.72827E+11,1.78083E+11,1.80451E+11,1.84409E+11
Total wealth (constant 2018 US$),NW.TOW.TO,Argentina,ARG,2.61061E+12,2.67776E+12,2.85511E+12,3.05939E+12,3.13346E+12,3.19002E+12,3.15624E+12,2.58924E+12,2.77586E+12,2.74623E+12,3.13591E+12,3.42637E+12,3.98351E+12,4.1763E+12,4.02232E+12,4.40134E+12,4.98701E+12,5.03511E+12,5.28333E+12,5.28121E+12,5.38863E+12,5.3121E+12,5.35553E+12,5.39214E+12
Total wealth (constant 2018 US$),NW.TOW.TO,Armenia,ARM,64689933002,65109752241,64652196549,66929814615,66641728221,66466942439,70458487502,72903883780,78757876950,85637737431,91384715771,1.00935E+11,1.1126E+11,1.14806E+11,1.02657E+11,1.07868E+11,1.16574E+11,1.21393E+11,1.24641E+11,1.28647E+11,1.3532E+11,1.31022E+11,1.36356E+11,1.41778E+11
